source,d,rounds,p,shots,logical_errors,rate,ci95
stim,3,3,0.015,200000,5998,0.02999,0.000747510697501514
stim,3,3,0.02,200000,10055,0.050275,0.0009576703646845296
stim,3,3,0.025,200000,14767,0.073835,0.001146083857500052
stim,3,3,0.03,200000,19882,0.09941,0.0013113531704675137
stim,3,3,0.035,200000,25328,0.12664,0.0014575490311352138
stim,3,3,0.04,200000,30949,0.154745,0.0015850510728048482
stim,3,3,0.045,200000,36675,0.183375,0.001695986818602963
stim,3,3,0.05,200000,42266,0.21133,0.001789242933245455
stim,5,5,0.015,200000,3560,0.0178,0.00057949679660892
stim,5,5,0.02,200000,7856,0.03928,0.0008513834995892273
stim,5,5,0.025,200000,14056,0.07028,0.0011202966484341547
stim,5,5,0.03,200000,21556,0.10778,0.0013590835009272978
stim,5,5,0.035,200000,30165,0.150825,0.0015684704480974448
stim,5,5,0.04,200000,39243,0.196215,0.0017405124112945018
stim,5,5,0.045,200000,48541,0.242705,0.001878940293725109
stim,5,5,0.05,200000,57513,0.287565,0.0019837261126088445
stim,7,7,0.015,200000,1915,0.009575,0.0004267969055124463
stim,7,7,0.02,200000,5630,0.02815,0.0007249029925583147
stim,7,7,0.025,200000,12274,0.06137,0.0010518803702440692
stim,7,7,0.03,200000,22007,0.110035,0.0013714909970066152
stim,7,7,0.035,200000,34267,0.171335,0.0016514050792649875
stim,7,7,0.04,200000,47375,0.236875,0.0018633675487876782
stim,7,7,0.045,200000,60049,0.300245,0.0020088706357154506
stim,7,7,0.05,200000,71415,0.357075,0.0020999113104021795
stim,9,9,0.015,200000,987,0.004935,0.0003071216111676285
stim,9,9,0.02,200000,3939,0.019695,0.000608975295702379
stim,9,9,0.025,200000,10773,0.053865,0.0009893978444357962
stim,9,9,0.03,200000,22417,0.112085,0.0013826126243102947
stim,9,9,0.035,200000,37910,0.18955,0.0017177742221782231
stim,9,9,0.04,200000,55176,0.27588,0.0019588737818769233
stim,9,9,0.045,200000,71192,0.35596,0.0020984474272917105
stim,9,9,0.05,200000,82868,0.41434,0.002158948516152064
