source,d,rounds,p,shots,logical_errors,rate,ci95
analytic,3,3,0.015,200000,5955,0.029775,0.0007449089444992588
analytic,3,3,0.02,200000,9946,0.04973,0.0009527387132560531
analytic,3,3,0.025,200000,14696,0.07348,0.0011435444398171853
analytic,3,3,0.03,200000,19829,0.099145,0.0013097968111397279
analytic,3,3,0.035,200000,25192,0.12596,0.0014541963615369142
analytic,3,3,0.04,200000,30835,0.154175,0.0015826624948342587
analytic,3,3,0.045,200000,36476,0.18238,0.0016924094137663024
analytic,3,3,0.05,200000,41870,0.20935,0.0017830753401412965
analytic,5,5,0.015,200000,3544,0.01772,0.0005782166365064222
analytic,5,5,0.02,200000,7895,0.039475,0.0008534075473037487
analytic,5,5,0.025,200000,14036,0.07018,0.0011195595455628076
analytic,5,5,0.03,200000,21509,0.107545,0.0013577798178290175
analytic,5,5,0.035,200000,30122,0.15061,0.0015675505314672314
analytic,5,5,0.04,200000,39322,0.19661,0.0017418352929433943
analytic,5,5,0.045,200000,48338,0.24169,0.0018762633958032651
analytic,5,5,0.05,200000,57451,0.287255,0.0019830878861109005
analytic,7,7,0.015,200000,1911,0.009555,0.0004263552363180262
analytic,7,7,0.02,200000,5614,0.02807,0.0007239019951076251
analytic,7,7,0.025,200000,12252,0.06126,0.001050998827677367
analytic,7,7,0.03,200000,22137,0.110685,0.001375033461965999
analytic,7,7,0.035,200000,34323,0.171615,0.0016524746619583006
analytic,7,7,0.04,200000,47362,0.23681,0.0018631912159172497
analytic,7,7,0.045,200000,60013,0.300065,0.0020085266557469932
analytic,7,7,0.05,200000,71292,0.35646,0.0020991054102705753
analytic,9,9,0.015,200000,991,0.004955,0.00030774022275906676
analytic,9,9,0.02,200000,3989,0.019945,0.0006127499975485924
analytic,9,9,0.025,200000,10855,0.054275,0.000992940955845311
analytic,9,9,0.03,200000,22329,0.111645,0.001380238025657821
analytic,9,9,0.035,200000,38126,0.19063,0.001721512771124513
analytic,9,9,0.04,200000,55193,0.275965,0.0019590605368467306
analytic,9,9,0.045,200000,70662,0.35331,0.0020949183991819825
analytic,9,9,0.05,200000,82977,0.414885,0.0021593625053645347
