decoder,source,d,rounds,p,shots,logical_errors,rate,ci95
mwpm,analytic,3,3,0.015,200000,5970,0.02985,0.0007458176987843612
mwpm,analytic,3,3,0.02,200000,9909,0.049545,0.0009510574890424869
mwpm,analytic,3,3,0.025,200000,14675,0.073375,0.0011427918571966637
mwpm,analytic,3,3,0.03,200000,19757,0.098785,0.0013076778917876525
mwpm,analytic,3,3,0.035,200000,25126,0.12563,0.001452564338108574
mwpm,analytic,3,3,0.04,200000,30731,0.153655,0.0015804768482479581
mwpm,analytic,3,3,0.045,200000,36415,0.182075,0.0016913090556001289
mwpm,analytic,3,3,0.05,200000,41773,0.208865,0.0017815548909237123
mwpm,analytic,5,5,0.015,200000,3604,0.01802,0.0005830016557067399
mwpm,analytic,5,5,0.02,200000,7925,0.039625,0.0008549606651039567
mwpm,analytic,5,5,0.025,200000,14042,0.07021,0.0011197807453815233
mwpm,analytic,5,5,0.03,200000,21531,0.107655,0.001358390305445309
mwpm,analytic,5,5,0.035,200000,30025,0.150125,0.001565471302795104
mwpm,analytic,5,5,0.04,200000,39169,0.195845,0.0017392707807031658
mwpm,analytic,5,5,0.045,200000,48234,0.24117,0.001874886410791011
mwpm,analytic,5,5,0.05,200000,57497,0.287485,0.0019835615177448366
mwpm,analytic,7,7,0.015,200000,1920,0.0096,0.00042734832481244146
mwpm,analytic,7,7,0.02,200000,5632,0.02816,0.0007250280081453405
mwpm,analytic,7,7,0.025,200000,12152,0.06076,0.0010469796635365941
mwpm,analytic,7,7,0.03,200000,22029,0.110145,0.0013720915497705682
mwpm,analytic,7,7,0.035,200000,34114,0.17057,0.0016484746309606347
mwpm,analytic,7,7,0.04,200000,47188,0.23594,0.001860825261385711
mwpm,analytic,7,7,0.045,200000,60006,0.30003,0.0020084597279290415
mwpm,analytic,7,7,0.05,200000,71320,0.3566,0.002099289198638434
mwpm,analytic,9,9,0.015,200000,976,0.00488,0.0003054138389215525
mwpm,analytic,9,9,0.02,200000,3936,0.01968,0.000608748006568235
mwpm,analytic,9,9,0.025,200000,10713,0.053565,0.0009867951911142455
mwpm,analytic,9,9,0.03,200000,22151,0.110755,0.001375414062077235
mwpm,analytic,9,9,0.035,200000,37903,0.189515,0.0017176527111724884
mwpm,analytic,9,9,0.04,200000,55008,0.27504,0.001957023431966822
mwpm,analytic,9,9,0.045,200000,70585,0.352925,0.0020943998385110235
mwpm,analytic,9,9,0.05,200000,82768,0.41384,0.002158566314968155
