series,d,detectors,p_data,p_meas,acc_shots,avg_defects,rate_uf,ci_uf,rate_wuf,ci_wuf,rate_mwpm,ci_mwpm,uf_syn_per_s,wuf_syn_per_s,mwpm_syn_per_s
perd-uniform,3,16,0.03,0.03,200000,1.93,0.112650,0.001386,0.099425,0.001311,0.098785,0.001308,2827455,3033386,5510273
perd-uniform,5,72,0.03,0.03,200000,9.54,0.127390,0.001461,0.118600,0.001417,0.107655,0.001358,488458,494623,407384
perd-uniform,7,192,0.03,0.03,200000,26.50,0.151335,0.001571,0.129635,0.001472,0.110145,0.001372,176064,174053,64063
perd-uniform,9,400,0.03,0.03,200000,56.53,0.167460,0.001636,0.142625,0.001533,0.110755,0.001375,82745,77767,13778
perd-uniform,11,720,0.03,0.03,200000,103.41,0.185680,0.001704,0.156650,0.001593,0.114055,0.001393,43243,40223,3551
perd-asym,3,16,0.02,0.06,200000,2.14,0.076910,0.001168,0.061065,0.001049,0.060840,0.001048,2805672,2298014,4087646
perd-asym,5,72,0.02,0.06,200000,10.55,0.102915,0.001332,0.071215,0.001127,0.064505,0.001077,461063,344570,247820
perd-asym,7,192,0.02,0.06,200000,29.33,0.129890,0.001473,0.075890,0.001161,0.063990,0.001073,165810,114213,36658
perd-asym,9,400,0.02,0.06,200000,62.59,0.160615,0.001609,0.083230,0.001211,0.065030,0.001081,76634,49758,7616
perd-asym,11,720,0.02,0.06,200000,114.38,0.191655,0.001725,0.090855,0.001260,0.065490,0.001084,39808,25005,1930
psweep-d7,7,192,0.01,0.01,200000,9.64,0.003005,0.000240,0.002520,0.000220,0.002140,0.000203,649479,609133,385056
psweep-d7,7,192,0.02,0.02,200000,18.46,0.041265,0.000872,0.034545,0.000800,0.028160,0.000725,284152,277659,124573
psweep-d7,7,192,0.03,0.03,200000,26.50,0.151335,0.001571,0.129635,0.001472,0.110145,0.001372,174720,174044,63349
psweep-d7,7,192,0.04,0.04,200000,33.81,0.292700,0.001994,0.264135,0.001932,0.235940,0.001861,129509,127422,39192
psweep-d7,7,192,0.05,0.05,200000,40.47,0.404810,0.002151,0.380755,0.002128,0.356600,0.002099,106110,104837,27162
