decoder,source,d,rounds,p,shots,logical_errors,rate,ci95
uf,analytic,3,3,0.015,200000,6976,0.03488,0.0008041183436564546
uf,analytic,3,3,0.02,200000,11483,0.057415,0.0010195628913520734
uf,analytic,3,3,0.025,200000,16841,0.084205,0.0012170520372045725
uf,analytic,3,3,0.03,200000,22530,0.11265,0.0013856519215950302
uf,analytic,3,3,0.035,200000,28285,0.141425,0.001527190755523029
uf,analytic,3,3,0.04,200000,34098,0.17049,0.001648167484013442
uf,analytic,3,3,0.045,200000,40004,0.20002,0.0017531430313345228
uf,analytic,3,3,0.05,200000,45554,0.22777,0.0018380726337489494
uf,analytic,5,5,0.015,200000,4345,0.021725,0.0006389272980511946
uf,analytic,5,5,0.02,200000,9610,0.04805,0.0009373350103244836
uf,analytic,5,5,0.025,200000,16803,0.084015,0.001215804286683593
uf,analytic,5,5,0.03,200000,25478,0.12739,0.001461230858551516
uf,analytic,5,5,0.035,200000,34857,0.174285,0.0016625938356646822
uf,analytic,5,5,0.04,200000,44528,0.22264,0.0018232816664254593
uf,analytic,5,5,0.045,200000,54278,0.27139,0.0019488820599059351
uf,analytic,5,5,0.05,200000,63303,0.316515,0.0020384624494255957
uf,analytic,7,7,0.015,200000,2875,0.014375,0.000521675997986298
uf,analytic,7,7,0.02,200000,8253,0.041265,0.0008717285892284364
uf,analytic,7,7,0.025,200000,17325,0.086625,0.0012327847617792005
uf,analytic,7,7,0.03,200000,30267,0.151335,0.0015706481601626128
uf,analytic,7,7,0.035,200000,44378,0.22189,0.0018210859217245078
uf,analytic,7,7,0.04,200000,58540,0.2927,0.0019941336579276728
uf,analytic,7,7,0.045,200000,70938,0.35469,0.002096764926001768
uf,analytic,7,7,0.05,200000,80962,0.40481,0.0021512679279418454
uf,analytic,9,9,0.015,200000,1718,0.00859,0.00040444950015446925
uf,analytic,9,9,0.02,200000,6658,0.03329,0.0007862236014564814
uf,analytic,9,9,0.025,200000,17352,0.08676,0.0012336538200399658
uf,analytic,9,9,0.03,200000,33492,0.16746,0.0016364365513111714
uf,analytic,9,9,0.035,200000,52758,0.26379,0.0019313949590819585
uf,analytic,9,9,0.04,200000,69883,0.349415,0.0020896034127418054
uf,analytic,9,9,0.045,200000,83272,0.41636,0.002160469292187047
uf,analytic,9,9,0.05,200000,91701,0.458505,0.0021837873048536115
