d,p,shots,gpu_rate,gpu_ci,cpu_rate,cpu_ci,within_ci,gpu_s,cpu_s,speedup
3,0.02,100000,0.058650,0.001456,0.058410,0.001454,true,0.0021,0.0402,18.95
3,0.025,100000,0.084360,0.001723,0.085030,0.001729,true,0.0022,0.0489,21.78
3,0.03,100000,0.112930,0.001962,0.112750,0.001960,true,0.0023,0.0569,24.25
3,0.035,100000,0.140910,0.002156,0.142350,0.002166,true,0.0025,0.0652,26.29
3,0.04,100000,0.169590,0.002326,0.171410,0.002336,true,0.0026,0.0727,28.22
5,0.02,100000,0.046410,0.001304,0.048080,0.001326,true,0.0388,0.1869,4.82
5,0.025,100000,0.081110,0.001692,0.084980,0.001728,true,0.0394,0.2344,5.95
5,0.03,100000,0.124530,0.002047,0.128300,0.002073,true,0.0400,0.2803,7.01
5,0.035,100000,0.172630,0.002342,0.175840,0.002360,true,0.0409,0.3256,7.95
5,0.04,100000,0.223800,0.002583,0.224090,0.002584,true,0.0412,0.3670,8.91
7,0.02,100000,0.040990,0.001229,0.041440,0.001235,true,0.1546,0.4878,3.16
7,0.025,100000,0.088060,0.001756,0.085950,0.001737,true,0.1632,0.6319,3.87
7,0.03,100000,0.151210,0.002220,0.150910,0.002219,true,0.1717,0.7740,4.51
7,0.035,100000,0.221010,0.002572,0.222900,0.002580,true,0.1802,0.9157,5.08
7,0.04,100000,0.290750,0.002815,0.293130,0.002821,true,0.1865,1.0423,5.59
9,0.02,100000,0.032930,0.001106,0.033570,0.001116,true,0.3922,1.0171,2.59
9,0.025,100000,0.086680,0.001744,0.086480,0.001742,true,0.4160,1.3493,3.24
9,0.03,100000,0.166890,0.002311,0.167890,0.002317,true,0.4432,1.6946,3.82
9,0.035,100000,0.259840,0.002718,0.263060,0.002729,true,0.4715,2.0226,4.29
9,0.04,100000,0.347200,0.002951,0.348770,0.002954,true,0.4890,2.3131,4.73
11,0.02,100000,0.027750,0.001018,0.026500,0.000996,true,0.7709,1.8572,2.41
11,0.025,100000,0.085150,0.001730,0.084670,0.001725,true,0.8244,2.5032,3.04
11,0.03,100000,0.184680,0.002405,0.185550,0.002409,true,0.8962,3.1455,3.51
11,0.035,100000,0.301930,0.002846,0.300980,0.002843,true,0.9605,3.7497,3.90
11,0.04,100000,0.396340,0.003032,0.394080,0.003029,true,1.0150,4.2919,4.23
13,0.02,100000,0.021120,0.000891,0.020540,0.000879,true,0.9385,3.0815,3.28
13,0.025,100000,0.084050,0.001720,0.082840,0.001708,true,1.0165,4.1678,4.10
13,0.03,100000,0.201670,0.002487,0.203440,0.002495,true,1.0981,5.2778,4.81
13,0.035,100000,0.340140,0.002936,0.339290,0.002935,true,1.1770,6.3370,5.38
13,0.04,100000,0.434960,0.003073,0.434340,0.003072,true,1.2463,7.2899,5.85
mwpm_block,d,p,gpu_s,cpu_mwpm_s,speedup_vs_mwpm
mwpm_block,3,0.03,0.0023,0.0324,13.92
mwpm_block,5,0.03,0.0427,0.3414,7.99
mwpm_block,7,0.03,0.1724,2.0334,11.80
mwpm_block,9,0.03,0.4377,9.0385,20.65
mwpm_block,11,0.03,0.8940,34.6753,38.79
mwpm_block,13,0.03,1.0982,117.4893,106.99
