d,stage,p50_us,p90_us,p99_us,max_us
5,build,53.9590,55.1250,59.0420,75.0410
5,growth,4.0830,5.9170,7.8330,13.6660
5,peel,1.3340,2.0840,2.7910,6.5000
5,commit,0.0410,0.0420,0.0840,0.1670
5,total,59.5830,62.5830,66.1680,81.2490
7,build,138.7080,141.1670,147.2080,177.0420
7,growth,11.6670,15.1250,19.0840,28.9590
7,peel,3.7920,5.2090,6.7080,10.0840
7,commit,0.0830,0.0840,0.1250,0.2090
7,total,154.1250,160.0420,167.7080,199.9160
9,build,298.9590,304.6250,314.8750,354.1250
9,growth,26.7920,32.8330,38.7090,48.2920
9,peel,8.6670,11.2500,13.7500,18.4160
9,commit,0.1660,0.2080,0.2500,0.2920
9,total,334.7090,345.8330,357.4170,388.1670
11,build,553.9590,562.5420,579.6250,602.4580
11,growth,54.5000,64.6250,75.2500,93.7910
11,peel,16.5830,20.6250,25.1670,29.2500
11,commit,0.2500,0.2920,0.3340,0.4170
11,total,625.7500,643.2090,661.2910,705.2080

# budget: per-round latency = window total / C(=d) vs 1µs/round target
d,window,build_p50_us,grow_p50_us,peel_p50_us,commit_p50_us,total_p50_us,total_p99_us,per_round_us,gap_x
5,15,53.959,4.083,1.334,0.041,59.583,66.168,11.917,12
7,21,138.708,11.667,3.792,0.083,154.125,167.708,22.018,22
9,27,298.959,26.792,8.667,0.166,334.709,357.417,37.190,37
11,33,553.959,54.500,16.583,0.250,625.750,661.291,56.886,57
