d,rounds,commit,window,buffer,batch_rate,sw_rate,abs_delta,combined_ci,within_ci,window_dets
3,18,3,4,1,0.366325,0.369950,0.003625,0.009453,true,16
3,18,3,5,2,0.366325,0.365425,0.000900,0.009441,true,20
3,18,3,6,3,0.366325,0.364950,0.001375,0.009440,true,24
3,18,3,9,6,0.366325,0.365675,0.000650,0.009442,true,36
3,18,3,12,9,0.366325,0.366650,0.000325,0.009444,true,48
5,30,5,6,1,0.410100,0.422025,0.011925,0.009660,false,72
5,30,5,8,3,0.410100,0.413850,0.003750,0.009647,true,96
5,30,5,10,5,0.410100,0.411725,0.001625,0.009643,true,120
5,30,5,15,10,0.410100,0.411125,0.001025,0.009642,true,180
5,30,5,20,15,0.410100,0.411375,0.001275,0.009643,true,240
7,42,7,8,1,0.448050,0.462125,0.014075,0.009759,false,192
7,42,7,11,4,0.448050,0.451925,0.003875,0.009751,true,264
7,42,7,14,7,0.448050,0.449000,0.000950,0.009748,true,336
7,42,7,21,14,0.448050,0.448675,0.000625,0.009748,true,504
7,42,7,28,21,0.448050,0.449925,0.001875,0.009749,true,672
