# gross [[144,12,12]]: plain BP vs BP+OSD (α=0.875), logical rate vs p
p,shots,bp_rate,bp_ci,bposd_rate,bposd_ci,improvement
0.01,30000,0.000133,0.000131,0.000033,0.000065,4.00
0.02,30000,0.000633,0.000285,0.000233,0.000173,2.71
0.03,30000,0.005033,0.000801,0.002867,0.000605,1.76
0.04,30000,0.020533,0.001605,0.013000,0.001282,1.58
0.05,30000,0.059833,0.002684,0.041200,0.002249,1.45
0.06,30000,0.143000,0.003961,0.105367,0.003474,1.36

# threshold: BB family [[72,12,6]] (ℓ=6) & [[144,12,12]] (ℓ=12), BP+OSD, rate vs p
l,n,d,p,shots,logical_rate,ci95
6,72,6,0.06,30000,0.254400,0.004928
6,72,6,0.07,30000,0.359533,0.005430
6,72,6,0.08,30000,0.463900,0.005643
6,72,6,0.085,30000,0.519400,0.005654
6,72,6,0.09,30000,0.570033,0.005602
6,72,6,0.095,30000,0.617767,0.005499
6,72,6,0.1,30000,0.663833,0.005346
6,72,6,0.11,30000,0.745700,0.004928
12,144,12,0.06,30000,0.105367,0.003474
12,144,12,0.07,30000,0.210500,0.004613
12,144,12,0.08,30000,0.344833,0.005379
12,144,12,0.085,30000,0.415067,0.005576
12,144,12,0.09,30000,0.487833,0.005656
12,144,12,0.095,30000,0.559000,0.005619
12,144,12,0.1,30000,0.629033,0.005466
12,144,12,0.11,30000,0.748600,0.004909

threshold_p_th,0.1092
