# gross [[144,12,12]], rounds=12: logical rate vs p (BP / BP+OSD / relay-BP+OSD)
p,shots,bp_rate,bp_ci,bposd_rate,bposd_ci,relayosd_rate,relayosd_ci
0.004,1000,0.282000,0.027890,0.019000,0.008462,0.014000,0.007282
0.005,1000,0.519000,0.030968,0.106000,0.019080,0.065000,0.015280
0.006,1000,0.748000,0.026910,0.291000,0.028153,0.223000,0.025800
0.007,1000,0.923000,0.016524,0.565000,0.030727,0.459000,0.030886
0.008,1000,0.981000,0.008462,0.829000,0.023336,0.720000,0.027829

# code-size comparison (relay-BP+OSD), rounds = d: per-shot and per-cycle logical rate
l,n,d,p,shots,logical_rate,ci95,per_cycle_rate
6,72,6,0.004,1000,0.045000,0.012849,0.007500
6,72,6,0.005,1000,0.099000,0.018511,0.016500
6,72,6,0.006,1000,0.203000,0.024931,0.033833
6,72,6,0.007,1000,0.303000,0.028484,0.050500
6,72,6,0.008,1000,0.469000,0.030931,0.078167
12,144,12,0.004,1000,0.014000,0.007282,0.001167
12,144,12,0.005,1000,0.065000,0.015280,0.005417
12,144,12,0.006,1000,0.223000,0.025800,0.018583
12,144,12,0.007,1000,0.459000,0.030886,0.038250
12,144,12,0.008,1000,0.720000,0.027829,0.060000
