# gross [[144,12,12]], rounds=12: logical rate vs p (BP / BP+OSD / relay-BP+OSD)
p,shots,bp_rate,bp_ci,bposd_rate,bposd_ci,relayosd_rate,relayosd_ci
0.0005,1000,0.002000,0.002769,0.000000,0.000000,0.000000,0.000000
0.001,1000,0.019000,0.008462,0.004000,0.003912,0.000000,0.000000
0.0015,1000,0.037000,0.011700,0.011000,0.006465,0.002000,0.002769
0.002,1000,0.059000,0.014604,0.027000,0.010046,0.001000,0.001959
0.003,1000,0.156000,0.022490,0.103000,0.018840,0.043000,0.012573

# code-size comparison (relay-BP+OSD), rounds = d: per-shot and per-cycle logical rate
l,n,d,p,shots,logical_rate,ci95,per_cycle_rate
6,72,6,0.0005,1000,0.000000,0.000000,0.000000
6,72,6,0.001,1000,0.000000,0.000000,0.000000
6,72,6,0.0015,1000,0.001000,0.001959,0.000167
6,72,6,0.002,1000,0.002000,0.002769,0.000333
6,72,6,0.003,1000,0.017000,0.008012,0.002833
12,144,12,0.0005,1000,0.000000,0.000000,0.000000
12,144,12,0.001,1000,0.000000,0.000000,0.000000
12,144,12,0.0015,1000,0.002000,0.002769,0.000167
12,144,12,0.002,1000,0.001000,0.001959,0.000083
12,144,12,0.003,1000,0.043000,0.012573,0.003583
