p,legs,iters,sweeps,cycles,latency_us,rate,ci95,base_rate,ratio_to_base,within_ci
0.03,4,25,100,301,3.162,0.002325,0.000334,0.002325,1.000,1
0.03,4,20,80,241,2.532,0.002400,0.000339,0.002325,1.032,1
0.03,4,15,60,181,1.901,0.002500,0.000346,0.002325,1.075,1
0.03,4,12,48,145,1.523,0.002675,0.000358,0.002325,1.151,1
0.03,4,10,40,121,1.271,0.002812,0.000367,0.002325,1.210,1
0.03,4,8,32,97,1.019,0.003075,0.000384,0.002325,1.323,0
0.03,3,20,60,181,1.901,0.002575,0.000351,0.002325,1.108,1
0.03,3,15,45,136,1.429,0.002700,0.000360,0.002325,1.161,1
0.03,3,12,36,109,1.145,0.002975,0.000377,0.002325,1.280,1
0.03,2,25,50,151,1.586,0.002950,0.000376,0.002325,1.269,1
0.03,2,20,40,121,1.271,0.003037,0.000381,0.002325,1.306,1
0.03,2,15,30,91,0.956,0.003612,0.000416,0.002325,1.554,0
0.03,6,10,60,181,1.901,0.002450,0.000343,0.002325,1.054,1
0.03,5,12,60,181,1.901,0.002488,0.000345,0.002325,1.070,1
0.04,4,25,100,301,3.162,0.012887,0.000782,0.012887,1.000,1
0.04,4,20,80,241,2.532,0.013237,0.000792,0.012887,1.027,1
0.04,4,15,60,181,1.901,0.014337,0.000824,0.012887,1.113,1
0.04,4,12,48,145,1.523,0.014800,0.000837,0.012887,1.148,0
0.04,4,10,40,121,1.271,0.015575,0.000858,0.012887,1.209,0
0.04,4,8,32,97,1.019,0.016525,0.000883,0.012887,1.282,0
0.04,3,20,60,181,1.901,0.014013,0.000815,0.012887,1.087,1
0.04,3,15,45,136,1.429,0.015400,0.000853,0.012887,1.195,0
0.04,3,12,36,109,1.145,0.016012,0.000870,0.012887,1.242,0
0.04,2,25,50,151,1.586,0.015012,0.000843,0.012887,1.165,0
0.04,2,20,40,121,1.271,0.016162,0.000874,0.012887,1.254,0
0.04,2,15,30,91,0.956,0.017988,0.000921,0.012887,1.396,0
0.04,6,10,60,181,1.901,0.013900,0.000811,0.012887,1.079,1
0.04,5,12,60,181,1.901,0.014100,0.000817,0.012887,1.094,1
0.05,4,25,100,301,3.162,0.045225,0.001440,0.045225,1.000,1
0.05,4,20,80,241,2.532,0.046512,0.001459,0.045225,1.028,1
0.05,4,15,60,181,1.901,0.048250,0.001485,0.045225,1.067,0
0.05,4,12,48,145,1.523,0.050175,0.001513,0.045225,1.109,0
0.05,4,10,40,121,1.271,0.052200,0.001541,0.045225,1.154,0
0.05,4,8,32,97,1.019,0.055613,0.001588,0.045225,1.230,0
0.05,3,20,60,181,1.901,0.048513,0.001489,0.045225,1.073,0
0.05,3,15,45,136,1.429,0.051200,0.001527,0.045225,1.132,0
0.05,3,12,36,109,1.145,0.053850,0.001564,0.045225,1.191,0
0.05,2,25,50,151,1.586,0.050850,0.001522,0.045225,1.124,0
0.05,2,20,40,121,1.271,0.053475,0.001559,0.045225,1.182,0
0.05,2,15,30,91,0.956,0.058563,0.001627,0.045225,1.295,0
0.05,6,10,60,181,1.901,0.047800,0.001478,0.045225,1.057,1
0.05,5,12,60,181,1.901,0.048175,0.001484,0.045225,1.065,0
