p,msg_bits,frac_bits,rate,ci95,f64_rate,ratio_to_f64
0.02,f64,-,0.000100,0.000139,0.000100,1.00
0.02,6,2,0.000200,0.000196,0.000100,2.000
0.02,7,3,0.000250,0.000219,0.000100,2.500
0.02,8,3,0.000100,0.000139,0.000100,1.000
0.02,8,4,0.000150,0.000170,0.000100,1.500
0.02,10,4,0.000100,0.000139,0.000100,1.000
0.02,12,6,0.000100,0.000139,0.000100,1.000
0.03,f64,-,0.002000,0.000619,0.002000,1.00
0.03,6,2,0.002400,0.000678,0.002000,1.200
0.03,7,3,0.002350,0.000671,0.002000,1.175
0.03,8,3,0.001950,0.000611,0.002000,0.975
0.03,8,4,0.002350,0.000671,0.002000,1.175
0.03,10,4,0.001950,0.000611,0.002000,0.975
0.03,12,6,0.001900,0.000604,0.002000,0.950
0.04,f64,-,0.012700,0.001552,0.012700,1.00
0.04,6,2,0.013400,0.001594,0.012700,1.055
0.04,7,3,0.013200,0.001582,0.012700,1.039
0.04,8,3,0.012050,0.001512,0.012700,0.949
0.04,8,4,0.012500,0.001540,0.012700,0.984
0.04,10,4,0.012250,0.001525,0.012700,0.965
0.04,12,6,0.012550,0.001543,0.012700,0.988
0.05,f64,-,0.043500,0.002827,0.043500,1.00
0.05,6,2,0.042100,0.002783,0.043500,0.968
0.05,7,3,0.042850,0.002807,0.043500,0.985
0.05,8,3,0.041800,0.002774,0.043500,0.961
0.05,8,4,0.043200,0.002818,0.043500,0.993
0.05,10,4,0.042450,0.002794,0.043500,0.976
0.05,12,6,0.043250,0.002819,0.043500,0.994
