p,candidate,order,restricted,corpus,errors,p_err_given_nonconv,solves_per_shot,us_per_shot,mcnemar_rescued,mcnemar_broke,mcnemar_chi2
0.003,baseline,0,0,1000,712,0.712000,0,0.0,0,0,0.00
0.003,osd,0,0,1000,30,0.030000,1,79.4,683,1,678.01
0.003,osd,2,0,1000,30,0.030000,4,87.4,683,1,678.01
0.003,osd,4,0,1000,30,0.030000,16,88.3,683,1,678.01
0.003,osd-resid,2,1,1000,30,0.030000,4,88.1,683,1,678.01
0.003,osd-resid,4,1,1000,30,0.030000,16,88.4,683,1,678.01
0.005,baseline,0,0,1000,826,0.826000,0,0.0,0,0,0.00
0.005,osd,0,0,1000,95,0.095000,1,81.6,736,5,719.16
0.005,osd,2,0,1000,95,0.095000,4,89.8,736,5,719.16
0.005,osd,4,0,1000,95,0.095000,16,89.7,736,5,719.16
0.005,osd-resid,2,1,1000,95,0.095000,4,90.5,736,5,719.16
0.005,osd-resid,4,1,1000,95,0.095000,16,90.9,736,5,719.16
0.007,baseline,0,0,1000,865,0.865000,0,0.0,0,0,0.00
0.007,osd,0,0,1000,192,0.192000,1,81.3,676,3,665.07
0.007,osd,2,0,1000,192,0.192000,4,88.9,676,3,665.07
0.007,osd,4,0,1000,192,0.192000,16,89.5,676,3,665.07
0.007,osd-resid,2,1,1000,192,0.192000,4,90.1,676,3,665.07
0.007,osd-resid,4,1,1000,192,0.192000,16,89.8,676,3,665.07
